rank,song,artist,image_url,spotify_id,streams_songs,weekly_gain_songs,year_songs,genre,language
632,Dynamite,Taio Cruz,https://i.scdn.co/image/ab67616d00004851a9006ae892a2255a865c0f7a,6MF9fzBmfXghAz953czmBC,1387478515,545470,2010,Pop,English
633,If the World Was Ending,JP Saxe ft. Julia Michaels,https://i.scdn.co/image/ab67616d000048515b392159c3f4e4a62783cc96,66W9LaWS0DPdL7Sz8iYGYe,1386938433,419652,2019,Pop,English
634,Those Eyes,New West,https://i.scdn.co/image/ab67616d00004851aacd27a096e6e59ff555b46c,69bG9tC62d8oTFC9aTTosn,1386746315,936833,2019,Pop,English
635,Million Dollar Baby,Tommy Richman,https://i.scdn.co/image/ab67616d0000485101c0cd5da820e6128655854f,1WaFQSHVGZQJTbf0BdxdNo,1386631306,570777,2024,R&B,English
636,"Sex, Drugs, Etc.",Beach Weather,https://i.scdn.co/image/ab67616d00004851511b07369101734098b14b0d,7I3bkknknQkIiatWiupQgD,1385921111,661804,2016,Alternative,English
637,Replay,Iyaz,https://i.scdn.co/image/ab67616d00004851ae7012fce99c2b2345b54f30,5tKXB9uuebKE34yowVaU3C,1385108458,935998,2009,Pop,English
638,Let It Go,James Bay,https://i.scdn.co/image/ab67616d00004851b2c00c75057284b41f88c304,4EzkuveR9pLvDVFNx6foYD,1384651270,296737,2014,Rock,English
639,Everywhere,Fleetwood Mac,https://i.scdn.co/image/ab67616d00004851aaba065944cd82a6f15c86b6,08GQAI4eElDnROBrJRGE0X,1384535368,1057808,1987,Pop,English
640,Bruises,Lewis Capaldi,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2,4GNC7GD6oZMSxPGyXy4MNB,1381675205,277692,2017,Pop,English
641,Gasolina,Daddy Yankee,https://i.scdn.co/image/ab67616d000048516bdcdf82ecce36bff808a40c,4VMYDCV2IEDYJArk749S6m,1381052015,1002296,2004,Reggaeton,Spanish
642,Drag Me Down,One Direction,https://i.scdn.co/image/ab67616d00004851241e4fe75732c9c4b49b94c3,4AK6F7OLvEQ5QYCBNiQWHq,1380263124,367268,2015,Pop,English
643,In The Stars,Benson Boone,https://i.scdn.co/image/ab67616d00004851cc04ff3e70e146ba9abacf40,22wbnEMDvgVIAGdFeek6ET,1378433199,754823,2022,Pop,English
644,Love Me,Lil Wayne ft. Drake & Future,https://i.scdn.co/image/ab67616d0000485180c64a084164867806ea617a,55Aa2cqylxrFIXC767Z865,1376750404,1050266,2013,Hip-hop,English
645,The Business,"Tiësto ft. James ""Yami"" Bell",https://i.scdn.co/image/ab67616d00004851cf8c47967e5c6bbc7dca5abb,2o5jDhtHVPhrJdv3cEQ99Z,1375849149,318739,2020,Electronic,English
646,Head & Heart,Joel Corry & MNEK,https://i.scdn.co/image/ab67616d000048518f12acea8ae871462e505cf0,6DgP9otnZw5z6daOntINxp,1375611488,204843,2020,Electronic,English
647,Moth To A Flame,Swedish House Mafia & The Weeknd,https://i.scdn.co/image/ab67616d00004851bd6f8ac82dc5fe1028c14f7d,1h6Cn3P4NGzXbaXidqURXs,1374748410,819650,2021,Electronic,English
648,The Monster,Eminem ft. Rihanna,https://i.scdn.co/image/ab67616d00004851c6338d684995af10c2bf0533,7dGJo4pcD2V6oG8kP0tJRR,1374070817,784683,2013,Hip-hop,English
649,Could You Be Loved,Bob Marley & The Wailers,https://i.scdn.co/image/ab67616d000048511c40418d1c37d727e8e91b04,2QsynagSdAqZj3U9HgDzjD,1373800299,894738,1980,Reggae / Dancehall,English
650,Say So,Doja Cat,https://i.scdn.co/image/ab67616d00004851d0bbfea6226b5c3707de92ed,5cj0lLjcoR7YOSnhnX0Po5,1370459871,281233,2019,Pop,English
651,Wild Thoughts,DJ Khaled ft. Rihanna & Bryson Tiller,https://i.scdn.co/image/ab67616d00004851f2b55cfff049e03f92834b50,0QHgL1lAIqAw0HtD7YldmP,1368921692,327745,2017,Pop,English
652,This Girl,Kungs & Cookin' On 3 Burners,https://i.scdn.co/image/ab67616d00004851af72d0856c5527dc97f3ea08,7keGfmQR4X5w0two1xKZ7d,1368011611,489769,2016,Electronic,English
653,Cigarette Daydreams,Cage The Elephant,https://i.scdn.co/image/ab67616d00004851415b79227c6cee25f42fbf41,26T3LtbuGT1Fu9m0eRq5X3,1367934325,502145,2013,Alternative,English
654,Snow (Hey Oh),Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000485109fd83d32aee93dceba78517,0L8ExT028jH3ddEcZwqJJ5,1365250953,664914,2006,Rock,English
655,Boy With Luv (작은 것들을 위한 시),BTS ft. Halsey,https://i.scdn.co/image/ab67616d0000485118d0ed4f969b376893f9a38f,3Nrfpe0tUJi4K4DXYWgMUX,1363400514,342678,2019,K-Pop,Korean
656,I Remember Everything,Zach Bryan ft. Kacey Musgraves,https://i.scdn.co/image/ab67616d00004851e5a25ed08d1e7e0fbb440cef,40ZNYROS4zLfyyBSs2PGe2,1362834875,909180,2023,Country,English
657,Make You Feel My Love,Adele,https://i.scdn.co/image/ab67616d0000485189d0ff2366a208016b6e9c6e,4dpARuHxo51G3z768sgnrY,1360042459,401844,2008,Soul / Motown R&B,English
658,All Star,Smash Mouth,https://i.scdn.co/image/ab67616d000048514f3bbf9631faeb8de9912a23,2iEvnFsWxR0Syqu2JNopAd,1359493580,443663,1999,Rock,English
659,Bad Liar,Imagine Dragons,https://i.scdn.co/image/ab67616d00004851da6f73a25f4c79d0e6b4a8bd,53XhwfbYqKCa1cC15pYq2q,1359429704,490842,2018,Pop,English
660,Swim,Chase Atlantic,https://i.scdn.co/image/ab67616d000048515a0c2870f4f309e382d1fad6,7cYEt1pqMgXJdq00hAwVpT,1359077609,799807,2017,R&B,English
661,Hot N Cold,Katy Perry,https://i.scdn.co/image/ab67616d000048513f97d4244eff5852477d9ee0,6jJ0s89eD6GaHleKKya26X,1358136416,797592,2008,Pop,English
662,You Make My Dreams (Come True),Daryl Hall & John Oates,https://i.scdn.co/image/ab67616d00004851fe1a9aa59e3c6189a09ae37a,77tT1kLj6mCWtFNqiOmP9H,1357996905,462021,1980,Pop,English
663,Where Is The Love?,Black Eyed Peas ft. Justin Timberlake,https://i.scdn.co/image/ab67616d000048515db09bde92cc685403d7068f,1yxSLGMDHlW21z4YXirZDS,1357163900,635812,2003,Hip-hop,English
664,Chantaje,Shakira ft. Maluma,https://i.scdn.co/image/ab67616d0000485129c44676782c0b6864131161,0EmeFodog0BfCgMzAIvKQp,1357064488,853883,2016,Reggaeton,Spanish
665,Video Games,Lana Del Rey,https://i.scdn.co/image/ab67616d00004851959280fee07d485cb5b56fe7,00FQb4jTyendYWaN8pK0wa,1356727210,758605,2011,Alternative,English
666,Get Lucky [Radio Edit],Daft Punk ft. Pharrell Williams & Nile Rodgers,https://i.scdn.co/image/ab67616d000048511d5cf960a92bb8b03fc2be7f,4tZwfgrHOc3mvqYlEYSvVi,1355922349,497411,2013,Soul / Motown R&B,English
667,China,"Anuel AA, Daddy Yankee & Karol G ft. Ozuna & J Balvin",https://i.scdn.co/image/ab67616d000048513cb695bfc1246bdf66161fce,2R21vXR83lH98kGeO99Y66,1352306743,410866,2019,Reggaeton,Spanish
668,It's Beginning to Look a Lot like Christmas,Michael Bublé,https://i.scdn.co/image/ab67616d000048512ead7786631d8dd3b59be4f0,1GxkXlMwML1oSg5eLPiAz3,1352066944,19868,2011,Seasonal,English
669,Issues,Julia Michaels,https://i.scdn.co/image/ab67616d00004851a5acfd33d055ca075b829cc1,0ZED1XzwlLHW4ZaG4lOT6m,1351986995,218863,2017,Pop,English
670,Uptown Girl,Billy Joel,https://i.scdn.co/image/ab67616d00004851814cbc4746358a25c84c62e7,6zFYqv1mOsgBRQbae3JJ9e,1351541803,674978,1983,Pop,English
671,My Way,Calvin Harris,https://i.scdn.co/image/ab67616d000048518d12bc5e3ea5c9f4a967de32,7CajNmpbOovFoOoasH2HaY,1351215583,513806,2016,Electronic,English
672,What I've Done,Linkin Park,https://i.scdn.co/image/ab67616d000048518145b51d1cdca483aff64358,6XyY86QOPPrYVGvF9ch6wz,1351007389,1255614,2007,Rock,English
673,R U Mine?,Arctic Monkeys,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163,7Ln80lUS6He07XvHI8qqHH,1350365862,515345,2013,Rock,English
674,Sexy Bitch,David Guetta ft. Akon,https://i.scdn.co/image/ab67616d000048511813115ff10c5f5ae028321d,1Cs0zKBU1kc0i8ypK3B9ai,1349909597,900324,2009,Electronic,English
675,Three Little Birds,Bob Marley & The Wailers,https://i.scdn.co/image/ab67616d00004851811bfdc4f55b3a7484524aaf,2QsynagSdAqZj3U9HgDzjD,1349650941,566652,1977,Reggae / Dancehall,English
676,DJ Got Us Fallin' In Love,Usher ft. Pitbull,https://i.scdn.co/image/ab67616d0000485186b0c9728ad3ed338eaeea79,23zg3TcAtWQy7J6upgbUnj,1348776740,970968,2010,Pop,English
677,White Iverson,Post Malone,https://i.scdn.co/image/ab67616d0000485155404f712deb84d0650a4b41,246dkjvS1zLTtiykXe5h60,1348659524,536618,2015,Hip-hop,English
678,American Idiot,Green Day,https://i.scdn.co/image/ab67616d0000485108a1b1e0674086d3f1995e1b,7oPftvlwr6VrsViSDV7fJY,1348315578,803426,2004,Rock,English
679,Treasure,Bruno Mars,https://i.scdn.co/image/ab67616d00004851926f43e7cce571e62720fd46,0du5cEVh5yTK9QJze8zA0C,1348229367,779315,2012,Soul / Motown R&B,English
680,The Lazy Song,Bruno Mars,https://i.scdn.co/image/ab67616d00004851f60070dce96a2c1b70cf6ff0,0du5cEVh5yTK9QJze8zA0C,1347423192,720184,2010,Reggae / Dancehall,English
681,Going Bad,Meek Mill ft. Drake,https://i.scdn.co/image/ab67616d00004851cd63c5962050729d260077d6,20sxb77xiYeusSH8cVdatc,1346934190,238663,2018,Hip-hop,English
682,Go Your Own Way,Fleetwood Mac,https://i.scdn.co/image/ab67616d00004851e52a59a28efa4773dd2bfe1b,08GQAI4eElDnROBrJRGE0X,1346538668,669542,1976,Rock,English
683,Little Talks,Of Monsters And Men,https://i.scdn.co/image/ab67616d00004851cb3f67e8026e2e493a1e8262,4dwdTW1Lfiq0cM8nBAqIIz,1346281921,541106,2011,Folk,English
684,SexyBack,Justin Timberlake ft. Timbaland,https://i.scdn.co/image/ab67616d00004851c68f26a3d34fbd0faed2b473,31TPClRtHm23RisEBtV3X7,1344702326,1014048,2006,R&B,English
685,What You Know Bout Love,Pop Smoke,https://i.scdn.co/image/ab67616d0000485177ada0863603903f57b34369,0eDvMgVFoNV3TpwtrVCoTj,1344559796,245608,2020,R&B,English
686,Idontwannabeyouanymore,Billie Eilish,https://i.scdn.co/image/ab67616d00004851a9f6c04ba168640b48aa5795,6qqNVTkY8uBg9cP3Jd7DAH,1343988516,383868,2017,Pop,English
687,La Bebe [Peso Pluma Remix],Yng Lvcas & Peso Pluma,https://i.scdn.co/image/ab67616d000048510dac97fceb812379dd4df688,1NNRWkhwmcXRimFYSBpB1y,1342421760,413269,2023,Reggaeton,Spanish
688,It Wasn't Me,Shaggy ft. Rik Rok,https://i.scdn.co/image/ab67616d000048519449f9491c364d28a9668e17,5EvFsr3kj42KNv97ZEnqij,1342358669,746730,2000,Reggae / Dancehall,English
689,Breakeven,The Script,https://i.scdn.co/image/ab67616d00004851f33a9f529c12f79b116eb218,3AQRLZ9PuTAozP28Skbq8V,1342237886,795197,2008,Rock,English
690,Feels,"Calvin Harris ft. Pharrell Williams, Katy Perry & Big Sean",https://i.scdn.co/image/ab67616d000048514d3fa5ce7ba599f4fd7803ef,7CajNmpbOovFoOoasH2HaY,1341920972,492353,2017,Pop,English
691,Electric Love,Børns,https://i.scdn.co/image/ab67616d00004851cc2cf912462d8ae4ef856434,1KP6TWI40m7p3QBTU6u2xo,1340863915,358778,2014,Rock,English
692,I Want To Know What Love Is,Foreigner,https://i.scdn.co/image/ab67616d000048513e030a7e606959674643d274,6IRouO5mvvfcyxtPDKMYFN,1339865863,988082,1984,Pop,English
693,Lala,Myke Towers,https://i.scdn.co/image/ab67616d000048510656d5ce813ca3cc4b677e05,7iK8PXO48WeuP03g8YR51W,1339065371,450010,2023,Reggaeton,Spanish
694,"You're Gonna Go Far, Kid",The Offspring,https://i.scdn.co/image/ab67616d00004851890ce61533a89e00ce593fcb,5LfGQac0EIXyAN8aUwmNAQ,1338763816,588451,2008,Rock,English
695,FourFiveSeconds,"Rihanna, Kanye West & Paul McCartney",https://i.scdn.co/image/ab67616d0000485136a9ed72b45e54ff307641be,5pKCCKE2ajJHZ9KAiaK11H,1336915218,336757,2015,Pop,English
696,Water,Tyla,https://i.scdn.co/image/ab67616d00004851d69acad4d4918387c0c8626f,3SozjO3Lat463tQICI9LcE,1335990089,859997,2023,Amapiano,English
697,Fast Car,Jonas Blue ft. Dakota,https://i.scdn.co/image/ab67616d000048515b6bcc59c3562a6f362344c6,1HBjj22wzbscIZ9sEb5dyf,1335345309,257313,2015,Electronic,English
698,What's Up?,4 Non Blondes,https://i.scdn.co/image/ab67616d00004851381371cb8ce680d0dc324600,0Je74SitssvJg1w4Ra2EK7,1333505500,819792,1992,Rock,English
699,Je Te Laisserai Des Mots,Patrick Watson,https://i.scdn.co/image/ab67616d00004851de9b0077d3f714ab2d7a88b2,7bPs6jf983f0bjRAt1yxDM,1332801898,560743,2010,Alternative,French
700,Dile,Don Omar,https://i.scdn.co/image/ab67616d00004851b4070df60fced11f282548d0,33ScadVnbm2X8kkUqOkC6Z,1332068805,1027737,2003,Reggaeton,Spanish
701,Roses,The Chainsmokers ft. Rozes,https://i.scdn.co/image/ab67616d0000485142dc3783e8e2de8b4643c598,69GGBxA162lTqCwzJG5jLp,1329932249,917817,2015,Electronic,English
702,Superman,Eminem ft. Dina Rae,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4,7dGJo4pcD2V6oG8kP0tJRR,1329362055,666885,2002,Hip-hop,English
703,Like I'm Gonna Lose You,Meghan Trainor ft. John Legend,https://i.scdn.co/image/ab67616d000048513b11178cccd78ec77fc12dbc,6JL8zeS1NmiOftqZTRgdTz,1329307247,302039,2015,Soul / Motown R&B,English
704,Ain't No Sunshine,Bill Withers,https://i.scdn.co/image/ab67616d00004851e1e350d06ffebd2e19e047ce,1ThoqLcyIYvZn7iWbj8fsj,1328899077,721015,1971,Soul / Motown R&B,English
705,Hey There Delilah,Plain White T's,https://i.scdn.co/image/ab67616d00004851beae6e69d6505fd379ef3081,1g1yxsNVPhMUl9GrMjEb2o,1328533126,463511,2005,Folk,English
706,Te Boté [Remix],"Nio García, Darell & Casper Mágico ft. Bad Bunny, Nicky Jam & Ozuna",https://i.scdn.co/image/ab67616d00004851d7097c9ef004af43f08713d5,5hdhHgpxyniooUiQVaPxQ0,1328517854,353652,2018,Reggaeton,Spanish
707,Angels Like You,Miley Cyrus,https://i.scdn.co/image/ab67616d00004851136d46f65c783bd9742dfc6d,5YGY8feqx7naU7z4HrwZM6,1325787640,582679,2020,Rock,English
708,House Of The Rising Sun,The Animals,https://i.scdn.co/image/ab67616d000048513c534611bd3658006378a2d7,3ICflSq6ZgYAIrm2CTkfVP,1325785501,860121,1964,Rock,English
709,Feliz Cumpleaños Ferxxo,Feid,https://i.scdn.co/image/ab67616d0000485173456ed697350847810e52b3,2LRoIwlKmHjgvigdNGBHNo,1325488765,309287,2022,Reggaeton,Spanish
710,I Love You,Billie Eilish,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce,6qqNVTkY8uBg9cP3Jd7DAH,1324242451,530127,2019,Alternative,English
711,Locked Away,R. City ft. Adam Levine,https://i.scdn.co/image/ab67616d000048519519b1a9e2b552407e65b01a,4TH4BHy0LdBi3dpBW4P2UX,1323925304,633758,2015,Reggae / Dancehall,English
712,I Don't Want To Miss A Thing,Aerosmith,https://i.scdn.co/image/ab67616d00004851da8d92affd796f7e20af7375,7Ey4PD4MYsKc5I2dolUwbH,1323868154,598625,1998,Rock,English
713,Love Me Harder,Ariana Grande & The Weeknd,https://i.scdn.co/image/ab67616d000048519e730d8fbd256885242f1e96,66CXWjxzNUsdJxJ2JdwvnR,1323549497,1133721,2014,Pop,English
714,Firestone,Kygo ft. Conrad Sewell,https://i.scdn.co/image/ab67616d0000485135590cb9280d5a1f5221ae1a,23fqKkggKUBHNkbKtXEls4,1321780702,440272,2014,Electronic,English
715,It's You,Ali Gatie,https://i.scdn.co/image/ab67616d000048517c33388c61407235344a660e,4rTv3Ejc7hKMtmoBOK1B4T,1318985285,293055,2019,Pop,English
716,Human,Rag'n'Bone Man,https://i.scdn.co/image/ab67616d0000485190a788beadaad34ff684d3ec,4f9iBmdUOhQWeP7dcAn1pf,1318685767,403411,2016,Soul / Motown R&B,English
717,The Next Episode,Dr. Dre ft. Snoop Dogg,https://i.scdn.co/image/ab67616d000048519b19c107109de740bad72df5,6DPYiyq5kWVQS4RGwxzPC7,1314641494,520463,1999,Hip-hop,English
718,Sunroof,Nicky Youre,https://i.scdn.co/image/ab67616d00004851ecd970d1d2623b6c7fc6080c,7qmpXeNz2ojlMl2EEfkeLs,1314536436,412127,2021,Pop,English
719,Temperature,Sean Paul,https://i.scdn.co/image/ab67616d000048510a2bc49d8e94ecfd839b5630,3Isy6kedDrgPYoTS1dazA9,1314183880,1026942,2005,Reggae / Dancehall,English
720,Sucker For Pain,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla Sign ft. X Ambassadors",https://i.scdn.co/image/ab67616d00004851aa0667f20a213b2e56739815,55Aa2cqylxrFIXC767Z865,1312819499,345741,2016,Hip-hop,English
721,July,Noah Cyrus,https://i.scdn.co/image/ab67616d000048517f66b73bd6e86f4c8d2a7692,55fhWPvDiMpLnE4ZzNXZyW,1312752436,255295,2019,Folk,English
722,Complicated,Avril Lavigne,https://i.scdn.co/image/ab67616d00004851f7ec724fbf97a30869d06240,0p4nmQO2msCgU4IF37Wi3j,1312717270,831497,2002,Rock,English
723,Bound 2,Kanye West,https://i.scdn.co/image/ab67616d000048511dacfbc31cc873d132958af9,5K4W6rqBFWDnAN6FQUkS6x,1312548601,646565,2013,Hip-hop,English
724,Baile Inolvidable,Bad Bunny,https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411,4q3ewBCX7sLwd24euuV69X,1310372038,3994733,2025,Tropical,Spanish
725,Infinity,Jaymes Young,https://i.scdn.co/image/ab67616d00004851a9897f65d1ead1be10a51e3f,6QrQ7OrISRYIfS5mtacaw2,1308370329,411301,2017,Alternative,English
726,Earfquake,"Tyler, The Creator ft. Playboi Carti",https://i.scdn.co/image/ab67616d0000485130a635de2bb0caa4e26f6abb,4V8LLVI7PbaPR0K2TGSxFF,1306257741,287128,2019,Soul / Motown R&B,English
727,Without You,Avicii ft. Sandro Cavazza,https://i.scdn.co/image/ab67616d00004851a26cc58b4d64c2ece3376389,1vCWHaC5f2uS3yhpwWbIA6,1305598850,383705,2017,Electronic,English
728,After Hours,The Weeknd,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36,1Xyo4u8uXC1ZmMpatF05PJ,1304446605,543108,2020,R&B,English
729,Don't Look Back In Anger,Oasis,https://i.scdn.co/image/ab67616d000048517a4c8c59851c88f6794c3cbf,2DaxqgrOhkeH0fpeiQq2f4,1304334746,803403,1995,Rock,English
730,Kiss Me,Sixpence None The Richer,https://i.scdn.co/image/ab67616d00004851cfc5eea6cfd77e89ed3ac5a4,0lJlKQvuM2Sd9DPPyUXcHg,1303722202,810896,1997,Rock,English
731,Popular,"The Weeknd, Playboi Carti & Madonna",https://i.scdn.co/image/ab67616d000048514c8f092adc59b4bf4212389d,1Xyo4u8uXC1ZmMpatF05PJ,1301143053,580164,2023,R&B,English
732,Hold The Line,Toto,https://i.scdn.co/image/ab67616d00004851f903e62767a0e22e33b7af83,0PFtn5NtBbbUNbU9EAmIWF,1300534636,637536,1978,Rock,English
733,Delicate,Taylor Swift,https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b,06HL4z0CvFAxyc27GXpf02,1299005989,532912,2017,Pop,English
734,Exchange,Bryson Tiller,https://i.scdn.co/image/ab67616d00004851d5f3cea8affdca01a0dc754f,2EMAnMvWE2eb56ToJVfCWs,1298239480,289631,2015,R&B,English
735,Jimmy Cooks,Drake ft. 21 Savage,https://i.scdn.co/image/ab67616d000048518dc0d801766a5aa6a33cbe37,3TVXtAsR1Inumwj472S9r4,1298176920,508541,2022,Hip-hop,English
736,Diles,"Bad Bunny, Ozuna & Farruko ft. Arcángel, Ñengo Flow, DJ Luian & Mambo Kingz",https://i.scdn.co/image/ab67616d00004851f62aa1dd0b43f583418cd018,4q3ewBCX7sLwd24euuV69X,1297286202,1194112,2016,Hip-hop,Spanish
737,Low Life,Future ft. The Weeknd,https://i.scdn.co/image/ab67616d00004851626745b3aa04899001a924ad,1RyvyyTE3xzB2ZywiAwp0i,1297246788,601163,2016,Hip-hop,English
738,Take Me Out,Franz Ferdinand,https://i.scdn.co/image/ab67616d00004851a5d1c06a8172d4861367953c,0XNa1vTidXlvJ2gHSsRi4A,1296940701,736202,2004,Rock,English
739,These Days,"Rudimental ft. Jess Glynne, Macklemore, & Dan Caplen",https://i.scdn.co/image/ab67616d00004851da76d547e225c9463900bc34,4WN5naL3ofxrVBgFpguzKo,1296107594,296665,2018,Pop,English
740,Skyfall,Adele,https://i.scdn.co/image/ab67616d000048512737be35cc5245eef495be90,4dpARuHxo51G3z768sgnrY,1296033160,977547,2012,Pop,English
741,Starving,Hailee Steinfeld & Grey ft. Zedd,https://i.scdn.co/image/ab67616d00004851eb66f3b0973057df6de26a08,5p7f24Rk5HkUZsaS3BLG5F,1295379295,158089,2016,Electronic,English
742,No Idea,Don Toliver,https://i.scdn.co/image/ab67616d0000485145190a074bef3e8ce868b60c,4Gso3d4CscCijv0lmajZWs,1292935521,602710,2019,Hip-hop,English
743,Calma [Farruko Remix],Pedro Capó & Farruko,https://i.scdn.co/image/ab67616d00004851bca187b09d702faa091ed085,4QVBYiagIaa6ZGSPMbybpy,1292587160,241364,2018,Pop,Spanish
744,One More Night,Maroon 5,https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff,04gDigrS5kc9YWfZHwBETP,1291540608,777101,2012,Pop,English
745,Yes Indeed,Lil Baby & Drake,https://i.scdn.co/image/ab67616d000048516cab41f8c84d6164976400d4,5f7VJjfbwm532GiveGC0ZK,1291239244,256569,2018,Hip-hop,English
746,The Middle,Jimmy Eat World,https://i.scdn.co/image/ab67616d0000485195d1d98c5176e4f982bd73d6,3Ayl7mCk0nScecqOzvNp6s,1288993240,529137,2001,Rock,English
747,Blame,Calvin Harris ft. John Newman,https://i.scdn.co/image/ab67616d000048518fba5806a323efd272677c4d,7CajNmpbOovFoOoasH2HaY,1288724173,682540,2014,Electronic,English
748,...Baby One More Time,Britney Spears,https://i.scdn.co/image/ab67616d0000485136cf58e3e7cf36a145b1da18,26dSoYclwsYLMAKD3tpOr4,1288455655,845519,1998,Pop,English
749,Nonstop,Drake,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5,3TVXtAsR1Inumwj472S9r4,1286706731,298695,2018,Hip-hop,English
750,Wait For U,Future ft. Drake & Tems,https://i.scdn.co/image/ab67616d00004851c3886b1f21a75622d47c2031,1RyvyyTE3xzB2ZywiAwp0i,1286578297,865951,2022,R&B,English
751,Hey Mor,Ozuna ft. Feid,https://i.scdn.co/image/ab67616d0000485180f5e31c0a66b5aed16d98e3,1i8SpTcr7yvPOmcqrbnVXY,1285794069,298898,2022,Reggaeton,Spanish
752,The Kids Aren't Alright,The Offspring,https://i.scdn.co/image/ab67616d00004851cbd2ee7dff77bfb2b5f0af52,5LfGQac0EIXyAN8aUwmNAQ,1285524263,655045,1998,Rock,English
753,No Guidance,Chris Brown ft. Drake,https://i.scdn.co/image/ab67616d0000485148f69a441c575fa5926a0831,7bXgB6jMjp9ATFy66eO08Z,1284653824,365023,2019,R&B,English
754,Linger,The Cranberries,https://i.scdn.co/image/ab67616d00004851f6325f361d7803ad0d908451,7t0rwkOPGlDPEhaOcVtOt9,1282878525,1034598,1993,Rock,English
755,No Surprises,Radiohead,https://i.scdn.co/image/ab67616d00004851c8b444df094279e70d0ed856,4Z8W4fKeB5YxbusRsdQVPb,1282532757,1035966,1997,Alternative,English
756,Best Day Of My Life,American Authors,https://i.scdn.co/image/ab67616d00004851cc761ba55b0e7abad4539abe,0MlOPi3zIDMVrfA9R04Fe3,1281498769,453694,2013,Folk,English
757,Dance The Night,Dua Lipa,https://i.scdn.co/image/ab67616d000048517dd3ba455ee3390cb55b0192,6M2wZ9GZgrQXHCFfjv46we,1281002332,507150,2023,Pop,English
758,Not Afraid,Eminem,https://i.scdn.co/image/ab67616d000048511afee6fb3a4ca2f049dd69b5,7dGJo4pcD2V6oG8kP0tJRR,1280778155,449546,2010,Hip-hop,English
759,Kings & Queens,Ava Max,https://i.scdn.co/image/ab67616d000048519a95e89d24214b94de36ccf7,4npEfmQ6YuiwW1GpUmaq3F,1280778122,601677,2020,Pop,English
760,The Man Who Can't Be Moved,The Script,https://i.scdn.co/image/ab67616d00004851dde86e2f18dc87260491d0d1,3AQRLZ9PuTAozP28Skbq8V,1280711535,1413832,2008,Rock,English
761,November Rain,Guns N' Roses,https://i.scdn.co/image/ab67616d00004851e44963b8bb127552ac761873,3qm84nBOXUEQ2vnTfUTTFC,1279821749,708736,1991,Hard Rock,English
762,Can't Help Falling in Love,Elvis Presley,https://i.scdn.co/image/ab67616d00004851f96cefb0197694ad440c3314,43ZHCT0cAZBISjO8DG9PnE,1279044557,604181,1961,Pop,English
763,Work Out,J. Cole,https://i.scdn.co/image/ab67616d0000485199da48a530f6ca2ef86da3cc,6l3HvQ5sa6mXTsMTB19rO5,1278266774,673215,2011,Hip-hop,English
764,Send My Love (To Your New Lover),Adele,https://i.scdn.co/image/ab67616d000048517b9888dc365b8f957c63df14,4dpARuHxo51G3z768sgnrY,1277613649,598201,2015,Pop,English
765,Despechá,Rosalía,https://i.scdn.co/image/ab67616d000048514494c44870e1de47d6461532,7ltDVBr6mKbRvohxheJ9h1,1276959718,380050,2022,Tropical,Spanish
766,Cry,Cigarettes After Sex,https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf,1QAJqy2dA3ihHBFIHRphZj,1276129191,1113404,2019,Alternative,English
767,Him & I,G-Eazy & Halsey,https://i.scdn.co/image/ab67616d00004851046527a9c176f7c2916f3530,02kJSzxNuaWGqwubyUba0Z,1275778096,636717,2017,Hip-hop,English
768,Atlantis,Seafret,https://i.scdn.co/image/ab67616d000048518c33272a7c77042f5eb39d75,4Ly0KABsxlx4fNj63zJTrF,1275553223,440631,2015,Folk,English
769,Panda,Desiigner,https://i.scdn.co/image/ab67616d00004851c598ea6ec584cafb062cafdf,7pFeBzX627ff0VnN6bxPR4,1275444325,165396,2015,Hip-hop,English
770,Die For You [Ariana Grande Remix],The Weeknd & Ariana Grande,https://i.scdn.co/image/ab67616d000048518ad8f5243d6534e03b656c8b,1Xyo4u8uXC1ZmMpatF05PJ,1275124597,483580,2023,Pop,English
771,Middle,DJ Snake ft. Bipolar Sunshine,https://i.scdn.co/image/ab67616d00004851212d776c31027c511f0ee3bc,540vIaP2JwjQb9dm3aArA4,1274973117,413096,2015,Electronic,English
772,You Are The Reason,Calum Scott,https://i.scdn.co/image/ab67616d00004851f2d671c22b70e01b78a618a8,6ydoSd3N2mwgwBHtF6K7eX,1274973115,347484,2017,Pop,English
773,Candy Shop,50 Cent ft. Olivia,https://i.scdn.co/image/ab67616d0000485191f7222996c531b981e7bb3d,3q7HBObVc0L8jNeTe5Gofh,1274932280,550887,2005,Hip-hop,English
